 appendix | cites_taxon_code | approved_taxon_code |                     cites_name                     | export_country_code | import_country_code | origin_country_code | quantity_1 | term_code_1 | unit_code_1 |    taxon_family    | purpose_code | source_code | reporter_type | shipment_number | shipment_year | global_trade 
 2        | 2305.2           | 2305.2              | Iguana iguana                                      | US                  | NL                  | SR                  |        100 | LIV         |             | Iguanidae          |              |             | I             | 394291          | 1984          | f
 2        | 686              | 689.4               | Lynx rufus                                         | NL                  | SU                  | XX                  |          1 | LIV         |             | Felidae            |              |             | E             | 396961          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | ZA                  | SD                  |          5 | HAN         |             | Varanidae          |              |             | E             | 400471          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | SD                  |         90 | SHO         |             | Varanidae          |              |             | E             | 400675          | 1984          | f
 2        | 684.3            | 689.2               | Lynx lynx                                          | GB                  | CH                  | CN                  |          1 | SKI         |             | Felidae            |              |             | E             | 401565          | 1984          | f
 2        | 2333.3           | 2333.3              | Tupinambis teguixin                                | IT                  | US                  | AR                  |         78 | SHO         |             | Teiidae            |              |             | E             | 403370          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | AT                  | SD                  |          4 | HAN         |             | Varanidae          |              |             | E             | 403988          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | SD                  |         17 | SHO         |             | Varanidae          |              |             | E             | 404182          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | NG                  |        168 | SKO         |             | Varanidae          |              |             | E             | 405180          | 1984          | f
 2        | 696.1            | 696.1               | Puma concolor                                      | DE                  | CA                  | AR                  |          5 | SKI         |             | Felidae            | T            |             | E             | 407551          | 1984          | f
 2        | 2359.5           | 2359.5              | Python curtus                                      | DE                  | US                  | ID                  |        845 | SKI         |             | Pythonidae         | T            |             | E             | 408284          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | SD                  |        770 | SHO         |             | Varanidae          |              |             | E             | 409406          | 1984          | f
 2        | 2354             | 2354                | Varanus niloticus                                  | IT                  | US                  | SD                  |          4 | SKI         |             | Varanidae          |              |             | E             | 410380          | 1984          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          5 | GAR         |             | Felidae            | T            |             | I             | 427317          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          2 | GAR         |             | Felidae            | T            |             | I             | 427398          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 427558          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | DE                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 436028          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 436689          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          4 | GAR         |             | Felidae            | T            |             | I             | 438164          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          7 | GAR         |             | Felidae            | T            |             | I             | 438339          | 1985          | f
 2        | 350.3            | 350.3               | Manis javanica                                     | MX                  | US                  | TH                  |         11 | SHO         |             | Manidae            | T            |             | I             | 441908          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 442752          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 443172          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          2 | GAR         |             | Felidae            | T            |             | I             | 447988          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 452243          | 1985          | f
 2        | 241.2            | 241.2               | Saimiri sciureus                                   | US                  | JP                  | GY                  |         10 | LIV         |             | Cebidae            | T            |             | E             | 454331          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          2 | GAR         |             | Felidae            | T            |             | I             | 456119          | 1985          | f
 2        | 682              | 682                 | Felis spp.                                         | IN                  | US                  | XX                  |          3 | GAR         |             | Felidae            | T            |             | I             | 457646          | 1985          | f
 2        | 350.3            | 350.3               | Manis javanica                                     | JP                  | US                  | TH                  |        493 | SKI         |             | Manidae            | T            |             | I             | 458907          | 1985          | f
 2        | 350.3            | 350.3               | Manis javanica                                     | MX                  | US                  | TH                  |          7 | SHO         |             | Manidae            | T            |             | I             | 461310          | 1985          | f
 2        | 686              | 689.4               | Lynx rufus                                         | CA                  | US                  | US                  |          1 | GAR         |             | Felidae            | T            |             | I             | 467564          | 1985          | f
 2        | 2212.8           | 2212.8              | Caiman yacare                                      | AT                  | DE                  | PY                  |        507 | SKO         |             | Alligatoridae      | T            |             | E             | 509572          | 1986          | f
